"","Normal","Tumor"
"ENSG00000042286.15",1.787521,2.710153
"ENSG00000042304.14",3.603214,2.568986
"ENSG00000042317.17",5.91751,2.259949
"ENSG00000042429.12",22.128796,15.127123
"ENSG00000042445.14",4.102143,4.79619
"ENSG00000042493.16",14.283868,13.571386
"ENSG00000042753.12",0,10.084051
"ENSG00000042781.14",0.686719,4.108721
"ENSG00000042813.8",0.678005,4.276073
"ENSG00000042832.12",23.825417,7.372936
"ENSG00000042980.14",1.516514,2.429405
"ENSG00000043039.7",5.549603,5.526263
"ENSG00000043093.15",7.971651,0.680859
"ENSG00000043143.22",9.910914,4.255678
"ENSG00000043355.12",1.654843,0.836108
"ENSG00000043462.13",3.484786,3.86841
"ENSG00000043514.17",2.702872,0.740391
"ENSG00000043591.6",1.379805,2.323575
"ENSG00000044012.4",0,2.768826
"ENSG00000044090.13",0.44549,2.514058
"ENSG00000044115.21",5.676468,21.556896
"ENSG00000044446.12",7.326397,3.024795
"ENSG00000044459.15",3.197402,2.488476
"ENSG00000044524.11",9.170375,4.804909
"ENSG00000044574.9",1.770284,3.577241
"ENSG00000046604.15",184.060427,39.810951
"ENSG00000046647.14",144.781954,57.839947
"ENSG00000046651.16",12.285786,6.902331
"ENSG00000046653.15",5.391317,1.05785
"ENSG00000046774.10",2.573525,0.558452
"ENSG00000046889.19",1.577681,0.712276
"ENSG00000047056.18",1.932955,1.365137
"ENSG00000047188.16",9.834071,2.777001
"ENSG00000047230.15",0.866141,2.500489
"ENSG00000047249.18",15.865184,5.647481
"ENSG00000047315.17",30.49616,3.21412
"ENSG00000047346.13",12.058133,13.713977
"ENSG00000047365.13",3.160581,1.595201
"ENSG00000047410.14",37.462852,7.252222
"ENSG00000047457.14",16.360253,3.569842
"ENSG00000047578.14",1.477314,4.743467
"ENSG00000047579.20",0,2.254513
"ENSG00000047597.7",0,0.19714
"ENSG00000047617.18",0,7.132214
"ENSG00000047621.12",87.627509,71.036803
"ENSG00000047634.15",2.792337,1.616433
"ENSG00000047644.20",0.574634,0.917288
"ENSG00000047648.23",1.363232,2.052589
"ENSG00000047662.5",0.193929,2.174699
"ENSG00000047849.22",5.701598,8.829235
"ENSG00000047932.14",1.676114,0.691935
"ENSG00000047936.11",2.103846,1.806805
"ENSG00000048028.12",26.17535,7.06764
"ENSG00000048052.25",2.862794,3.992015
"ENSG00000048140.18",0.152919,3.005577
"ENSG00000048162.22",3.51634,4.598262
"ENSG00000048342.18",169.522197,86.423622
"ENSG00000048392.13",0.141802,1.454896
"ENSG00000048405.11",7.459093,1.602909
"ENSG00000048462.11",1.511579,0.785204
"ENSG00000048471.14",50.110365,26.010809
"ENSG00000048540.16",13.725525,4.599635
"ENSG00000048544.6",2.102924,4.238845
